Candidate_ID,Name,Age,Gender,City,Degree,Experience_Years,Skills,Projects_Count,Certifications,Resume_Summary,Target_Designation
C06246,Candidate_6246,21,Male,Bengaluru,M.Tech,10,"Git, Pandas, CV, NLP, SQL, NumPy, Docker, Scikit-learn, MLflow",10,Oracle Java,ML Engineer with 10 years of experience.,ML Engineer
C00321,Candidate_321,28,Female,Kochi,MCA,9,"Next.js, Bootstrap, Vite, REST, TypeScript, JavaScript, CSS, HTML, Tailwind",2,Google DA,Front End Developer with 9 years of experience.,Front End Developer
C07990,Candidate_7990,32,Female,Hyderabad,MCA,7,"Wireframing, Prototyping, Typography, Photoshop, UI, Canva, After Effects, Adobe XD, UX, Illustrator, Figma, Color Theory",6,AWS CCP,Designer with 7 years of experience.,Designer
C00617,Candidate_617,22,Female,Kochi,M.Tech,1,"Next.js, React, REST, CSS, Redux, Vite, Tailwind, HTML, TypeScript, JavaScript",2,Google DA,Front End Developer with 1 years of experience.,Front End Developer
C06971,Candidate_6971,36,Female,Pune,B.Tech,2,"Employee Relations, Communication, Compliance, Training, HRMS, Recruitment, Excel, Conflict Resolution, Leadership",1,Oracle Java,HR Manager with 2 years of experience.,HR Manager
C02041,Candidate_2041,35,Male,Hyderabad,BCA,10,"Python, MongoDB, Flask, PostgreSQL, JWT, MySQL, Linux, Git, Django, REST, FastAPI, Docker",7,Power BI,Backend Developer with 10 years of experience.,Backend Developer
C08021,Candidate_8021,31,Female,Pune,BCA,0,"After Effects, UX, Illustrator, Photoshop, Color Theory, Prototyping, Wireframing, Figma, UI, Canva",9,AWS CCP,Designer with 0 years of experience.,Designer
C08787,Candidate_8787,30,Female,Mumbai,MCA,5,"UX, Canva, Wireframing, Color Theory, Photoshop, Adobe XD, Illustrator, Prototyping, Figma",6,Oracle Java,Designer with 5 years of experience.,Designer
C08999,Candidate_8999,21,Female,Delhi,BCA,11,"Photoshop, Color Theory, Wireframing, Typography, Adobe XD, Canva, Figma, After Effects",1,Power BI,Designer with 11 years of experience.,Designer
C02973,Candidate_2973,35,Female,Bengaluru,M.Tech,5,"Statistics, Tableau, Excel, Pandas, NumPy, ETL, DAX, Seaborn",8,Oracle Java,Data Analyst with 5 years of experience.,Data Analyst
C05764,Candidate_5764,30,Male,Hyderabad,M.Tech,8,"CV, NumPy, Git, Scikit-learn, PyTorch, Pandas, TensorFlow, Python, NLP, Docker, SQL, Azure",4,Azure AZ-900,ML Engineer with 8 years of experience.,ML Engineer
C04667,Candidate_4667,36,Female,Delhi,B.Sc,0,"GCP, Python, AWS, Docker, Linux, Azure, Kubernetes, Networking, Terraform, Ansible",1,Azure AZ-900,Cloud Engineer with 0 years of experience.,Cloud Engineer
C04753,Candidate_4753,26,Male,Mumbai,B.Tech,13,"AWS, Kubernetes, Python, Jenkins, CI/CD, GCP, Azure, Ansible",2,AWS CCP,Cloud Engineer with 13 years of experience.,Cloud Engineer
C09145,Candidate_9145,23,Male,Pune,B.Tech,10,"UI, Color Theory, Typography, Adobe XD, Canva, Prototyping, Illustrator, Figma, UX, After Effects, Photoshop, Wireframing",10,Oracle Java,Designer with 10 years of experience.,Designer
C02554,Candidate_2554,21,Male,Bengaluru,M.Tech,7,"FastAPI, Git, Docker, Django, PostgreSQL, MySQL, Python, Flask, Linux, MongoDB, REST",1,Azure AZ-900,Backend Developer with 7 years of experience.,Backend Developer
C09384,Candidate_9384,23,Female,Delhi,B.Tech,8,"Analytics, SEM, Meta Ads, Social Media, Keyword Research, Canva, Content Marketing, Copywriting, WordPress, Google Ads",3,Oracle Java,Digital Marketing with 8 years of experience.,Designer
C05637,Candidate_5637,23,Female,Mumbai,B.Tech,1,"MLflow, Git, NumPy, TensorFlow, CV, Pandas, PyTorch, Docker, SQL, NLP, Python",8,Oracle Java,ML Engineer with 1 years of experience.,ML Engineer
C00175,Candidate_175,27,Male,Bengaluru,MCA,9,"TypeScript, JavaScript, React, Git, Tailwind, Next.js, Redux, CSS",9,AWS CCP,Front End Developer with 9 years of experience.,Front End Developer
C10033,Candidate_10033,22,Male,Chennai,M.Tech,8,"Email Marketing, Meta Ads, Keyword Research, SEM, Analytics, WordPress, Google Ads, SEO, Social Media, Content Marketing",1,AWS CCP,Digital Marketing with 8 years of experience.,Digital Marketing
C07992,Candidate_7992,21,Male,Bengaluru,B.Sc,3,"UX, Figma, Typography, Wireframing, Photoshop, Adobe XD, Illustrator, Canva",8,Azure AZ-900,Designer with 3 years of experience.,Designer
C07841,Candidate_7841,21,Male,Hyderabad,BCA,6,"Payroll, Compliance, HRMS, Communication, Onboarding, Training, Excel, Recruitment, ATS, Conflict Resolution",7,AWS CCP,HR Manager with 6 years of experience.,Data Analyst
C05372,Candidate_5372,31,Female,Hyderabad,BCA,4,"NumPy, Python, TensorFlow, SQL, PyTorch, Docker, Pandas, MLflow, NLP, CV",1,Power BI,ML Engineer with 4 years of experience.,ML Engineer
C08753,Candidate_8753,29,Male,Pune,B.Tech,7,"UI, Color Theory, After Effects, Wireframing, Photoshop, Illustrator, Prototyping, Canva, Figma, UX",4,Power BI,Designer with 7 years of experience.,Designer
C03018,Candidate_3018,39,Female,Hyderabad,BCA,15,"Power BI, Statistics, Pandas, Tableau, SQL, Matplotlib, Meta Ads, Content Marketing",2,Meta,Data Analyst with 15 years of experience.,Data Analyst
C07362,Candidate_7362,31,Male,Chennai,B.Sc,3,"Onboarding, Excel, Compliance, Training, Payroll, Recruitment, ATS, Leadership, Communication, HRMS",6,AWS CCP,HR Manager with 3 years of experience.,HR Manager
C01335,Candidate_1335,23,Female,Chennai,B.Sc,6,"MongoDB, Docker, REST, FastAPI, PostgreSQL, Flask, Linux, JWT, Django, Git, Python, MySQL",8,TensorFlow,Backend Developer with 6 years of experience.,Backend Developer
C01596,Candidate_1596,30,Male,Kochi,B.Sc,0,"Django, PostgreSQL, FastAPI, REST, MongoDB, Docker, Git, Flask",5,Oracle Java,Backend Developer with 0 years of experience.,Backend Developer
C08778,Candidate_8778,29,Male,Pune,B.Tech,11,"Wireframing, Illustrator, Figma, Photoshop, Color Theory, After Effects, Typography, Canva, Prototyping",8,TensorFlow,Designer with 11 years of experience.,Digital Marketing
C07405,Candidate_7405,24,Male,Hyderabad,B.Sc,14,"Recruitment, HRMS, Training, Compliance, Excel, Payroll, Employee Relations, ATS, Conflict Resolution, Leadership, Communication, Onboarding",10,Oracle Java,HR Manager with 14 years of experience.,HR Manager
C04610,Candidate_4610,22,Male,Bengaluru,MCA,6,"CI/CD, Python, AWS, Azure, Ansible, GCP, Docker, Terraform, TensorFlow",5,Google DA,Cloud Engineer with 6 years of experience.,Cloud Engineer
C02944,Candidate_2944,30,Male,Hyderabad,B.Tech,15,"Power BI, Seaborn, Tableau, Python, Excel, ETL, DAX, SQL, NumPy",7,AWS CCP,Data Analyst with 15 years of experience.,Data Analyst
C04757,Candidate_4757,23,Male,Hyderabad,MCA,3,"Docker, Jenkins, Networking, CI/CD, Linux, Python, GCP, Kubernetes",7,Oracle Java,Cloud Engineer with 3 years of experience.,Cloud Engineer
C09785,Candidate_9785,24,Male,Bengaluru,M.Tech,14,"Copywriting, Google Ads, Email Marketing, Keyword Research, WordPress, Content Marketing, Prototyping, Typography",2,Oracle Java,Digital Marketing with 14 years of experience.,Digital Marketing
C08251,Candidate_8251,35,Male,Hyderabad,B.Tech,15,"UX, Typography, Canva, Prototyping, Photoshop, Color Theory, Figma, Adobe XD, Redux",7,AWS CCP,Designer with 15 years of experience.,Designer
C04068,Candidate_4068,39,Female,Mumbai,B.Sc,6,"AWS, Ansible, Terraform, GCP, Linux, Python, Jenkins, Kubernetes",8,Power BI,Cloud Engineer with 6 years of experience.,Cloud Engineer
C04046,Candidate_4046,40,Female,Bengaluru,M.Tech,3,"Kubernetes, Jenkins, Azure, Docker, AWS, Terraform, GCP, Ansible, CI/CD",5,TensorFlow,Cloud Engineer with 3 years of experience.,Cloud Engineer
C03193,Candidate_3193,27,Female,Kochi,MCA,13,"NumPy, Tableau, Statistics, Power BI, Seaborn, Excel, DAX, Pandas, SQL",8,Azure AZ-900,Data Analyst with 13 years of experience.,Data Analyst
C09990,Candidate_9990,40,Female,Bengaluru,M.Tech,14,"Content Marketing, Keyword Research, Analytics, Meta Ads, Google Ads, SEO, Email Marketing, Copywriting, Social Media, SEM, Canva, WordPress",7,Meta,Digital Marketing with 14 years of experience.,Digital Marketing
C03308,Candidate_3308,28,Male,Mumbai,M.Tech,1,"Excel, Seaborn, NumPy, SQL, Power BI, Pandas, Tableau, DAX, Python, Statistics, ETL",9,Meta,Data Analyst with 1 years of experience.,Data Analyst
C09459,Candidate_9459,31,Female,Delhi,MCA,13,"Analytics, Email Marketing, Canva, Content Marketing, Keyword Research, Social Media, SEM, SEO",3,TensorFlow,Digital Marketing with 13 years of experience.,Digital Marketing
C09673,Candidate_9673,38,Male,Pune,B.Sc,12,"Email Marketing, SEM, Canva, Meta Ads, Content Marketing, WordPress, Social Media, Keyword Research, Google Ads",8,Azure AZ-900,Digital Marketing with 12 years of experience.,Digital Marketing
C02906,Candidate_2906,36,Male,Kochi,BCA,4,"Statistics, SQL, Pandas, Excel, Matplotlib, ETL, Power BI, Tableau",7,Power BI,Data Analyst with 4 years of experience.,Digital Marketing
C04389,Candidate_4389,27,Female,Pune,MCA,0,"Ansible, GCP, AWS, Python, Terraform, Networking, Azure, Linux, Jenkins, Docker, Kubernetes",3,TensorFlow,Cloud Engineer with 0 years of experience.,Cloud Engineer
C02536,Candidate_2536,24,Male,Chennai,BCA,13,"JWT, Linux, MySQL, Flask, FastAPI, MongoDB, Docker, Django, REST, Git, PostgreSQL, Bootstrap",6,Azure AZ-900,Backend Developer with 13 years of experience.,Backend Developer
C03281,Candidate_3281,24,Female,Chennai,BCA,3,"Statistics, Python, NumPy, Excel, Tableau, ETL, Seaborn, DAX",9,Google DA,Data Analyst with 3 years of experience.,Data Analyst
C08839,Candidate_8839,21,Female,Hyderabad,B.Tech,11,"Wireframing, Illustrator, Typography, Color Theory, Photoshop, UI, Figma, Adobe XD, After Effects, Google Ads",10,Oracle Java,Designer with 11 years of experience.,Front End Developer
C08997,Candidate_8997,33,Male,Mumbai,B.Sc,8,"Photoshop, After Effects, Prototyping, Canva, Typography, Figma, UI, Illustrator, Color Theory, UX, Bootstrap, HTML",9,Power BI,Designer with 8 years of experience.,Designer
C09818,Candidate_9818,25,Female,Delhi,B.Tech,7,"Social Media, SEO, Google Ads, Canva, Email Marketing, Meta Ads, Copywriting, Analytics, Statistics, Pandas",4,AWS CCP,Digital Marketing with 7 years of experience.,Digital Marketing
C01879,Candidate_1879,24,Male,Delhi,M.Tech,4,"MySQL, FastAPI, Docker, Python, REST, Django, Flask, Linux, Git",8,Azure AZ-900,Backend Developer with 4 years of experience.,Front End Developer
C01748,Candidate_1748,27,Female,Hyderabad,B.Sc,9,"Python, MongoDB, Linux, JWT, PostgreSQL, Git, FastAPI, REST, Flask",4,Oracle Java,Backend Developer with 9 years of experience.,Backend Developer
C04884,Candidate_4884,27,Male,Chennai,M.Tech,5,"Azure, Networking, Python, Jenkins, Terraform, Docker, GCP, AWS, Linux, CI/CD, Kubernetes, Ansible",10,AWS CCP,Cloud Engineer with 5 years of experience.,Cloud Engineer
C05582,Candidate_5582,28,Male,Bengaluru,B.Tech,1,"Scikit-learn, NumPy, CV, Git, Pandas, TensorFlow, PyTorch, Docker, SQL",2,Google DA,ML Engineer with 1 years of experience.,ML Engineer
C09533,Candidate_9533,37,Female,Mumbai,B.Tech,6,"Email Marketing, Content Marketing, Keyword Research, Social Media, WordPress, Canva, Meta Ads, SEM, SEO, Google Ads",2,Azure AZ-900,Digital Marketing with 6 years of experience.,Digital Marketing
C07319,Candidate_7319,26,Male,Chennai,BCA,5,"Communication, Employee Relations, Leadership, Onboarding, Recruitment, Conflict Resolution, Excel, ATS, Payroll, Training, Copywriting",10,Power BI,HR Manager with 5 years of experience.,HR Manager
C00959,Candidate_959,25,Female,Pune,B.Tech,8,"TypeScript, REST, Tailwind, Vite, Git, JavaScript, Redux, Next.js, HTML, Bootstrap",2,TensorFlow,Front End Developer with 8 years of experience.,Backend Developer
C02234,Candidate_2234,38,Female,Kochi,B.Sc,10,"Flask, Django, Git, MySQL, FastAPI, PostgreSQL, Docker, Linux",6,Oracle Java,Backend Developer with 10 years of experience.,Backend Developer
C09906,Candidate_9906,33,Female,Delhi,M.Tech,14,"Canva, Analytics, Copywriting, Google Ads, WordPress, Social Media, Keyword Research, SEO, Email Marketing, Content Marketing, Meta Ads, SEM",6,TensorFlow,Digital Marketing with 14 years of experience.,Digital Marketing
C00235,Candidate_235,32,Male,Chennai,B.Sc,13,"CSS, Tailwind, Next.js, Vite, Git, Redux, HTML, React, REST, Bootstrap, Linux",8,Power BI,Front End Developer with 13 years of experience.,Front End Developer
C03815,Candidate_3815,26,Male,Kochi,M.Tech,7,"SQL, Power BI, NumPy, DAX, ETL, Matplotlib, Tableau, Pandas, Statistics",2,Meta,Data Analyst with 7 years of experience.,Data Analyst
C01834,Candidate_1834,31,Female,Hyderabad,B.Sc,9,"Python, MySQL, Docker, MongoDB, REST, Linux, Git, PostgreSQL, Django, Flask, JWT, Ansible",7,Azure AZ-900,Backend Developer with 9 years of experience.,Backend Developer
C02263,Candidate_2263,27,Male,Hyderabad,M.Tech,7,"FastAPI, Flask, PostgreSQL, Docker, MongoDB, Django, MySQL, Python, JWT, REST",9,AWS CCP,Backend Developer with 7 years of experience.,Backend Developer
C05297,Candidate_5297,29,Female,Bengaluru,B.Tech,10,"Scikit-learn, SQL, TensorFlow, Pandas, Docker, Python, NumPy, MLflow, NLP, Git, PyTorch",10,Google DA,ML Engineer with 10 years of experience.,ML Engineer
C09431,Candidate_9431,25,Male,Chennai,B.Sc,14,"Canva, Social Media, Google Ads, Keyword Research, Copywriting, Analytics, SEO, WordPress, SEM, Content Marketing, Meta Ads",10,TensorFlow,Digital Marketing with 14 years of experience.,Digital Marketing
C09182,Candidate_9182,22,Female,Hyderabad,BCA,5,"Typography, Adobe XD, Photoshop, UX, Wireframing, Color Theory, Prototyping, UI",10,Oracle Java,Designer with 5 years of experience.,Designer
C06455,Candidate_6455,39,Male,Kochi,BCA,5,"Scikit-learn, PyTorch, Docker, CV, Python, NLP, MLflow, Git, SQL, TensorFlow, Azure, Terraform",9,Oracle Java,ML Engineer with 5 years of experience.,ML Engineer
C08673,Candidate_8673,28,Male,Delhi,MCA,11,"Typography, Adobe XD, Prototyping, Wireframing, Photoshop, Illustrator, Canva, UX",7,TensorFlow,Designer with 11 years of experience.,Designer
C00931,Candidate_931,29,Female,Pune,BCA,10,"Vite, TypeScript, Next.js, Tailwind, HTML, REST, CSS, React",10,AWS CCP,Front End Developer with 10 years of experience.,Front End Developer
C05420,Candidate_5420,40,Male,Pune,B.Sc,7,"NumPy, MLflow, CV, PyTorch, Pandas, SQL, TensorFlow, CI/CD, GCP",7,AWS CCP,ML Engineer with 7 years of experience.,ML Engineer
C00250,Candidate_250,26,Male,Kochi,B.Tech,6,"Git, HTML, CSS, React, REST, Tailwind, Vite, Next.js, TypeScript",1,TensorFlow,Front End Developer with 6 years of experience.,Front End Developer
C06515,Candidate_6515,34,Male,Kochi,MCA,3,"PyTorch, TensorFlow, Scikit-learn, Python, SQL, Pandas, MLflow, NumPy",5,TensorFlow,ML Engineer with 3 years of experience.,ML Engineer
C09086,Candidate_9086,28,Female,Pune,BCA,15,"Illustrator, Wireframing, UX, Color Theory, Photoshop, After Effects, Typography, Figma",8,Oracle Java,Designer with 15 years of experience.,Designer
C02875,Candidate_2875,39,Female,Kochi,B.Sc,13,"DAX, Python, Excel, ETL, NumPy, Seaborn, SQL, Statistics, Power BI, Pandas, Tableau",5,Azure AZ-900,Data Analyst with 13 years of experience.,ML Engineer
C09987,Candidate_9987,26,Female,Kochi,B.Sc,2,"WordPress, Analytics, Social Media, SEO, Google Ads, Email Marketing, Content Marketing, SEM",7,AWS CCP,Digital Marketing with 2 years of experience.,Digital Marketing
C06018,Candidate_6018,28,Male,Bengaluru,BCA,8,"NumPy, Pandas, TensorFlow, PyTorch, CV, SQL, Scikit-learn, Git, MLflow, Docker, Python",3,Power BI,ML Engineer with 8 years of experience.,ML Engineer
C08612,Candidate_8612,24,Female,Pune,MCA,4,"Photoshop, Color Theory, Wireframing, Adobe XD, Prototyping, Illustrator, UX, Figma, UI, After Effects, Canva",2,Google DA,Designer with 4 years of experience.,Designer
C08926,Candidate_8926,35,Female,Pune,M.Tech,11,"Wireframing, Canva, Illustrator, Figma, After Effects, Photoshop, UX, Color Theory, Analytics",8,Oracle Java,Designer with 11 years of experience.,Designer
C08236,Candidate_8236,40,Male,Delhi,B.Sc,3,"Illustrator, Typography, UX, Photoshop, Adobe XD, Color Theory, After Effects, Wireframing, Prototyping",10,Google DA,Designer with 3 years of experience.,Designer
C01662,Candidate_1662,21,Male,Delhi,MCA,13,"MySQL, FastAPI, Linux, JWT, Git, REST, PostgreSQL, Flask, Django",10,Oracle Java,Backend Developer with 13 years of experience.,Backend Developer
C02665,Candidate_2665,37,Female,Mumbai,B.Sc,4,"SQL, Excel, Python, ETL, Seaborn, Power BI, Statistics, DAX, NumPy, Pandas",4,AWS CCP,Data Analyst with 4 years of experience.,Data Analyst
C06099,Candidate_6099,24,Male,Hyderabad,B.Sc,14,"PyTorch, NumPy, Python, MLflow, CV, Docker, Scikit-learn, NLP, Pandas, SQL",3,Oracle Java,ML Engineer with 14 years of experience.,ML Engineer
C07883,Candidate_7883,26,Female,Delhi,M.Tech,7,"Figma, UX, Typography, Wireframing, After Effects, Color Theory, Adobe XD, Photoshop, UI, Prototyping",2,Google DA,Designer with 7 years of experience.,Designer
C03265,Candidate_3265,22,Male,Pune,BCA,3,"Statistics, Pandas, DAX, Power BI, Python, Tableau, ETL, NumPy, Excel, Matplotlib",10,Oracle Java,Data Analyst with 3 years of experience.,Data Analyst
C07968,Candidate_7968,34,Female,Bengaluru,B.Tech,4,"Canva, Adobe XD, Illustrator, Figma, UX, Wireframing, After Effects, UI, Typography, Photoshop, Color Theory",4,Google DA,Designer with 4 years of experience.,Designer
C04525,Candidate_4525,27,Female,Kochi,B.Sc,11,"Kubernetes, Jenkins, CI/CD, Ansible, Docker, AWS, Linux, Azure, GCP, Terraform",6,AWS CCP,Cloud Engineer with 11 years of experience.,Cloud Engineer
C08280,Candidate_8280,38,Male,Pune,MCA,8,"Adobe XD, UX, Canva, Illustrator, Photoshop, UI, Prototyping, Redux",9,Oracle Java,Designer with 8 years of experience.,Designer
C05778,Candidate_5778,21,Male,Hyderabad,BCA,0,"Scikit-learn, Docker, Python, SQL, NLP, PyTorch, MLflow, CV, NumPy, TensorFlow, Git",4,Azure AZ-900,ML Engineer with 0 years of experience.,ML Engineer
C02992,Candidate_2992,32,Female,Kochi,BCA,4,"SQL, Seaborn, Matplotlib, Tableau, DAX, NumPy, Power BI, Excel, Statistics, Pandas, ETL",10,Oracle Java,Data Analyst with 4 years of experience.,Data Analyst
C08445,Candidate_8445,35,Female,Mumbai,M.Tech,4,"Adobe XD, Typography, Figma, Illustrator, UX, Wireframing, Photoshop, Keyword Research",8,TensorFlow,Designer with 4 years of experience.,Designer
C10247,Candidate_10247,37,Male,Mumbai,MCA,4,"Copywriting, Analytics, SEM, Google Ads, Content Marketing, Keyword Research, SEO, Email Marketing, WordPress, Meta Ads, Canva, Social Media",5,Power BI,Digital Marketing with 4 years of experience.,Digital Marketing
C09891,Candidate_9891,24,Male,Mumbai,B.Tech,9,"Copywriting, Email Marketing, Content Marketing, Social Media, Canva, Analytics, WordPress, SEO",6,Oracle Java,Digital Marketing with 9 years of experience.,Digital Marketing
C10028,Candidate_10028,28,Male,Delhi,MCA,5,"Canva, WordPress, SEM, Meta Ads, Copywriting, SEO, Google Ads, Content Marketing, Analytics, Social Media",4,Azure AZ-900,Digital Marketing with 5 years of experience.,Digital Marketing
C06809,Candidate_6809,28,Female,Delhi,B.Tech,13,"HRMS, Communication, Employee Relations, Leadership, ATS, Compliance, Excel, Recruitment, Training, Payroll, Conflict Resolution",2,AWS CCP,HR Manager with 13 years of experience.,HR Manager
C07969,Candidate_7969,39,Female,Pune,M.Tech,1,"Illustrator, Typography, UI, After Effects, Wireframing, Adobe XD, Prototyping, Canva, Figma, Color Theory, Photoshop, UX",9,Oracle Java,Designer with 1 years of experience.,Designer
C04658,Candidate_4658,30,Female,Pune,M.Tech,13,"Linux, Jenkins, Networking, CI/CD, AWS, Kubernetes, Azure, Python, Terraform, Ansible, NumPy, NLP",4,Google DA,Cloud Engineer with 13 years of experience.,Cloud Engineer
C02679,Candidate_2679,38,Male,Delhi,M.Tech,6,"Matplotlib, NumPy, Statistics, SQL, DAX, Power BI, ETL, Pandas, Seaborn",9,Meta,Data Analyst with 6 years of experience.,Data Analyst
C05554,Candidate_5554,40,Male,Mumbai,B.Sc,6,"PyTorch, TensorFlow, Scikit-learn, Git, Pandas, SQL, NLP, Docker, MLflow, Power BI",5,Azure AZ-900,ML Engineer with 6 years of experience.,ML Engineer
C05067,Candidate_5067,34,Female,Bengaluru,BCA,13,"AWS, Azure, Linux, Terraform, GCP, Docker, Ansible, CI/CD",8,Power BI,Cloud Engineer with 13 years of experience.,Cloud Engineer
C05815,Candidate_5815,33,Male,Bengaluru,B.Tech,2,"CV, Git, Docker, NLP, NumPy, Python, Pandas, Azure",2,Oracle Java,ML Engineer with 2 years of experience.,ML Engineer
C06852,Candidate_6852,37,Male,Hyderabad,MCA,9,"Training, Payroll, Onboarding, Communication, Excel, Compliance, ATS, HRMS, Conflict Resolution, Employee Relations, DAX",3,Meta,HR Manager with 9 years of experience.,HR Manager
C02264,Candidate_2264,32,Female,Pune,M.Tech,14,"Linux, FastAPI, JWT, PostgreSQL, Python, Docker, Git, MongoDB",10,Power BI,Backend Developer with 14 years of experience.,Backend Developer
C05724,Candidate_5724,23,Female,Kochi,B.Sc,9,"SQL, NLP, MLflow, TensorFlow, CV, Pandas, NumPy, Git, Scikit-learn",9,AWS CCP,ML Engineer with 9 years of experience.,ML Engineer
C04443,Candidate_4443,34,Female,Kochi,B.Tech,15,"CI/CD, Python, AWS, Networking, Docker, Azure, Kubernetes, Jenkins, Ansible, GCP",10,TensorFlow,Cloud Engineer with 15 years of experience.,Cloud Engineer
C03886,Candidate_3886,31,Male,Mumbai,MCA,4,"Pandas, Tableau, Matplotlib, Seaborn, Statistics, Excel, DAX, Python, SQL, NumPy, Power BI",10,Power BI,Data Analyst with 4 years of experience.,Data Analyst
C02157,Candidate_2157,33,Female,Chennai,MCA,11,"JWT, Django, MongoDB, Docker, PostgreSQL, Git, Flask, REST, FastAPI, MySQL, Python",8,Meta,Backend Developer with 11 years of experience.,Backend Developer
C01253,Candidate_1253,22,Male,Delhi,B.Sc,9,"Vite, Next.js, Bootstrap, React, Git, CSS, TypeScript, REST",4,Google DA,Front End Developer with 9 years of experience.,Front End Developer
C03080,Candidate_3080,37,Male,Hyderabad,B.Tech,0,"Seaborn, Tableau, Statistics, Matplotlib, DAX, SQL, NumPy, Pandas, ETL",10,Meta,Data Analyst with 0 years of experience.,Digital Marketing
C06500,Candidate_6500,23,Male,Kochi,BCA,13,"PyTorch, Git, Scikit-learn, Python, TensorFlow, Pandas, NumPy, Docker",10,Power BI,ML Engineer with 13 years of experience.,Cloud Engineer
C00954,Candidate_954,31,Female,Kochi,BCA,6,"Next.js, REST, TypeScript, HTML, Vite, Bootstrap, Git, React, Tailwind, JavaScript, Redux, CSS",5,Oracle Java,Front End Developer with 6 years of experience.,Front End Developer
C02943,Candidate_2943,39,Female,Delhi,B.Sc,14,"NumPy, Pandas, DAX, Python, Power BI, Seaborn, Statistics, Tableau, ETL, SQL",8,AWS CCP,Data Analyst with 14 years of experience.,Data Analyst
C01079,Candidate_1079,35,Female,Delhi,BCA,13,"Redux, Git, TypeScript, CSS, JavaScript, HTML, REST, React, Next.js",3,AWS CCP,Front End Developer with 13 years of experience.,Front End Developer
C02513,Candidate_2513,34,Female,Kochi,BCA,13,"MySQL, REST, Django, Git, Flask, Python, PostgreSQL, JWT",9,Oracle Java,Backend Developer with 13 years of experience.,Backend Developer
C08094,Candidate_8094,25,Female,Hyderabad,M.Tech,4,"Figma, Color Theory, After Effects, Typography, Illustrator, Wireframing, Adobe XD, Photoshop, Prototyping, UX, UI, SEM",1,Oracle Java,Designer with 4 years of experience.,Designer
C01403,Candidate_1403,40,Female,Bengaluru,B.Sc,0,"Git, PostgreSQL, FastAPI, Docker, Linux, MongoDB, JWT, Python, Django, Flask, MySQL",4,Meta,Backend Developer with 0 years of experience.,Backend Developer
C07102,Candidate_7102,40,Female,Hyderabad,M.Tech,4,"Onboarding, Communication, Leadership, HRMS, Employee Relations, Excel, Compliance, Conflict Resolution",1,Oracle Java,HR Manager with 4 years of experience.,HR Manager
C01098,Candidate_1098,32,Male,Kochi,B.Tech,1,"REST, React, Bootstrap, Vite, CSS, Redux, HTML, Next.js, Tailwind",9,AWS CCP,Front End Developer with 1 years of experience.,Designer
C05510,Candidate_5510,29,Female,Delhi,BCA,8,"CV, PyTorch, NLP, NumPy, TensorFlow, Pandas, Git, Docker, Scikit-learn, MLflow, SQL, Python",8,Azure AZ-900,ML Engineer with 8 years of experience.,ML Engineer
C02639,Candidate_2639,36,Female,Mumbai,BCA,1,"DAX, Power BI, ETL, Statistics, Tableau, Matplotlib, Excel, NumPy, Python, Seaborn",7,TensorFlow,Data Analyst with 1 years of experience.,Data Analyst
C03937,Candidate_3937,38,Female,Bengaluru,B.Tech,15,"NumPy, Matplotlib, Excel, Power BI, Statistics, Pandas, ETL, Seaborn, SQL, Tableau, DAX",5,Power BI,Data Analyst with 15 years of experience.,Data Analyst
C08491,Candidate_8491,29,Male,Bengaluru,MCA,14,"UX, Figma, Canva, UI, Prototyping, Typography, Photoshop, After Effects, Color Theory",8,Power BI,Designer with 14 years of experience.,Designer
C02786,Candidate_2786,23,Female,Pune,B.Sc,4,"Power BI, Tableau, SQL, NumPy, ETL, Excel, Pandas, Seaborn, Docker",8,TensorFlow,Data Analyst with 4 years of experience.,Data Analyst
C06694,Candidate_6694,33,Male,Pune,B.Tech,2,"Onboarding, Conflict Resolution, Training, Excel, Compliance, Communication, Employee Relations, Payroll, Leadership, HRMS",3,AWS CCP,HR Manager with 2 years of experience.,HR Manager
C00994,Candidate_994,27,Male,Bengaluru,MCA,13,"React, Git, CSS, Vite, Tailwind, Next.js, REST, JavaScript, Redux, HTML, Bootstrap, TypeScript",9,AWS CCP,Front End Developer with 13 years of experience.,Front End Developer
C02289,Candidate_2289,37,Female,Bengaluru,M.Tech,0,"MongoDB, Python, Linux, Git, Docker, FastAPI, Flask, REST, Django, JWT, PostgreSQL",6,Oracle Java,Backend Developer with 0 years of experience.,Backend Developer
C01089,Candidate_1089,39,Male,Bengaluru,MCA,1,"Tailwind, CSS, HTML, JavaScript, React, TypeScript, Bootstrap, Redux, Next.js",1,Meta,Front End Developer with 1 years of experience.,Front End Developer
C02456,Candidate_2456,25,Male,Pune,BCA,2,"MongoDB, Flask, Django, Docker, Git, FastAPI, MySQL, JWT, Python",3,Azure AZ-900,Backend Developer with 2 years of experience.,Backend Developer
C05343,Candidate_5343,40,Male,Hyderabad,M.Tech,8,"Python, MLflow, Docker, PyTorch, Git, NLP, CV, Pandas, SQL, NumPy, ETL",3,Power BI,ML Engineer with 8 years of experience.,ML Engineer
C09452,Candidate_9452,33,Male,Pune,B.Tech,1,"Google Ads, SEM, WordPress, Analytics, Copywriting, Canva, Social Media, SEO, Content Marketing, Keyword Research, Email Marketing",10,AWS CCP,Digital Marketing with 1 years of experience.,Digital Marketing
